id,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,buying_mode,listing_type_id,condition,permalink,thumbnail_id,thumbnail,video_id,accepts_mercadopago,warranty,catalog_product_id,domain_id,date_created,last_updated,status,catalog_listing
MLA918072516,MLA,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,119914491,MLA409415,,66490.5,66490.5,69990.0,ARS,1935,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-918072516-google-nest-mini-nest-mini-2nd-gen-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,748685-MLA45255603145_032021,http://http2.mlstatic.com/D_748685-MLA45255603145_032021-I.jpg,,True,Garantía del vendedor: 6 meses,MLA15541143,MLA-SMART_SPEAKERS,2021-04-26T19:22:18.000Z,2024-05-31T02:14:20.000Z,active,True
MLA934111387,MLA,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Chalk 110v/220v",284824585,MLA409415,,225693.9,225693.9,369990.0,ARS,201,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-934111387-google-nest-hub-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-chalk-110v220v-_JM,774989-MLA43070779446_082020,http://http2.mlstatic.com/D_774989-MLA43070779446_082020-I.jpg,,True,Garantía del vendedor: 6 meses,MLA15532616,MLA-SMART_SPEAKERS,2021-08-12T21:07:18.000Z,2024-05-30T02:48:54.596Z,active,True
MLA1429485397,MLA,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",119914491,MLA409415,,237499.05,237499.05,249999.0,ARS,999,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1429485397-google-nest-hub-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110v220v-_JM,740239-MLA43071191161_082020,http://http2.mlstatic.com/D_740239-MLA43071191161_082020-I.jpg,,True,Garantía del vendedor: 3 meses,MLA15532617,MLA-SMART_SPEAKERS,2024-05-29T17:26:50.417Z,2024-05-30T20:02:45.965Z,active,True
MLA1146279904,MLA,Google Home Mini Con Asistente Virtual Google Assistant Coral 110v/220v,309453406,MLA409415,,69591.3,69591.3,79990.0,ARS,1271,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1146279904-google-home-mini-con-asistente-virtual-google-assistant-coral-110v220v-_JM,747055-MLA51559102373_092022,http://http2.mlstatic.com/D_747055-MLA51559102373_092022-I.jpg,,True,Garantía del vendedor: 6 meses,MLA15541917,MLA-SMART_SPEAKERS,2022-07-09T21:58:24.000Z,2024-05-30T02:58:52.078Z,active,True
MLA1376911913,MLA,Google Home Mini Con Asistente Virtual Google Assistant Chalk 110v/220v,56599171,MLA409415,,128999.0,128999.0,,ARS,61,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1376911913-google-home-mini-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,925569-MLU72639569259_112023,http://http2.mlstatic.com/D_925569-MLU72639569259_112023-I.jpg,,True,Garantía del vendedor: 6 meses,MLA15541916,MLA-SMART_SPEAKERS,2023-07-12T23:49:14.000Z,2024-05-24T20:20:59.000Z,active,True
MLA1424602139,MLA,Apple Tv 4k 64gb Negro 1.ª Generación 2017,309453406,MLA352001,,269990.0,269990.0,,ARS,999,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1424602139-apple-tv-4k-64gb-negro-1-generacion-2017-_JM,973117-MLA32691559270_102019,http://http2.mlstatic.com/D_973117-MLA32691559270_102019-I.jpg,,True,Garantía del vendedor: 3 meses,MLA8972017,MLA-STREAMING_MEDIA_DEVICES,2024-05-03T17:45:02.000Z,2024-05-28T00:43:58.000Z,active,True
MLA1424666485,MLA,Apple Tv 4k 64gb Color Negro Tipo De Control Remoto De Voz,309453406,MLA352001,,269999.0,269999.0,,ARS,999,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1424666485-apple-tv-4k-64gb-color-negro-tipo-de-control-remoto-de-voz-_JM,878429-MLU71759959777_092023,http://http2.mlstatic.com/D_878429-MLU71759959777_092023-I.jpg,,True,Garantía del vendedor: 3 meses,MLA27081839,MLA-STREAMING_MEDIA_DEVICES,2024-05-03T17:39:44.000Z,2024-05-27T17:48:17.000Z,active,True
MLA1420959285,MLA,Apple Tv 4k 32gb Negro 1.ª Generación 2017,284824585,MLA352001,,239990.0,239990.0,,ARS,1004,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1420959285-apple-tv-4k-32gb-negro-1-generacion-2017-_JM,729472-MLU74219531278_012024,http://http2.mlstatic.com/D_729472-MLU74219531278_012024-I.jpg,,True,Garantía del vendedor: 3 meses,MLA8972018,MLA-STREAMING_MEDIA_DEVICES,2024-04-11T15:57:34.000Z,2024-05-30T16:48:17.451Z,active,True
MLA1345282920,MLA, Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,1017136269,MLA352001,,404999.0,404999.0,,ARS,62,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1345282920-apple-tv-4k-wifi-a2737-de-voz-3-generacion-2022-4k-64gb-negro-_JM,662921-MLA53529199006_012023,http://http2.mlstatic.com/D_662921-MLA53529199006_012023-I.jpg,,True,Garantía de fábrica: 12 meses,MLA21459431,MLA-STREAMING_MEDIA_DEVICES,2023-02-13T23:06:30.000Z,2024-05-30T11:56:43.262Z,active,True
MLA1732679658,MLA, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Color Negro Tipo De Control Remoto Control De Voz,729785121,MLA352001,,640200.0,640200.0,,ARS,1,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1732679658-apple-tv-4k-wifi-a2737-3-generacion-2022-4k-64gb-color-negro-tipo-de-control-remoto-control-de-voz-_JM,659915-MLU74337895205_022024,http://http2.mlstatic.com/D_659915-MLU74337895205_022024-I.jpg,,True,Garantía del vendedor: 6 meses,MLA25906731,MLA-STREAMING_MEDIA_DEVICES,2024-04-08T04:08:16.000Z,2024-05-26T23:46:04.187Z,active,True
MLA1730051170,MLA,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Con Alexa Color Negro,1473286957,MLA352001,,78800.0,78800.0,,ARS,81,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1730051170-amazon-fire-tv-stick-4k-2023-wifi-6-2gb-de-ram-con-alexa-color-negro-_JM,733186-MLU75730689100_042024,http://http2.mlstatic.com/D_733186-MLU75730689100_042024-I.jpg,,True,Garantía del vendedor: 12 meses,MLA28024922,MLA-STREAMING_MEDIA_DEVICES,2024-04-04T16:23:12.000Z,2024-05-30T13:04:04.271Z,active,True
MLA1424073263,MLA,Amazon Lite Fire Tv Stick B091g4yp57 De Voz 2.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,119671699,MLA352001,,74499.0,74499.0,,ARS,131,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1424073263-amazon-lite-fire-tv-stick-b091g4yp57-de-voz-2-generacion-full-hd-8gb-negro-con-1gb-de-memoria-ram-_JM,921432-MLA52140925321_102022,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,,True,Garantía de fábrica: 6 meses,MLA19732185,MLA-STREAMING_MEDIA_DEVICES,2024-04-30T16:10:47.000Z,2024-05-30T19:39:21.000Z,active,True
MLA1565619806,MLA,Amazon Fire Tv Stick Lite Control Por Voz Alexa Fhd 1080p Color Negro Tipo De Control Remoto De Voz,621229920,MLA352001,,73000.0,73000.0,73000.0,ARS,121,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1565619806-amazon-fire-tv-stick-lite-control-por-voz-alexa-fhd-1080p-color-negro-tipo-de-control-remoto-de-voz-_JM,843463-MLU70509108856_072023,http://http2.mlstatic.com/D_843463-MLU70509108856_072023-I.jpg,,True,Garantía del vendedor: 6 meses,MLA24588486,MLA-STREAMING_MEDIA_DEVICES,2023-11-15T14:08:39.232Z,2024-05-31T02:37:53.853Z,active,True
MLA1142240951,MLA,Amazon Fire Tv Stick Lite- De Voz 2.ª Generación Full Hd Negro Con 1gb De Memoria Ram,680515,MLA352001,,89333.0,89333.0,,ARS,1734,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1142240951-amazon-fire-tv-stick-lite-de-voz-2-generacion-full-hd-negro-con-1gb-de-memoria-ram-_JM,972640-MLA44341353803_122020,http://http2.mlstatic.com/D_972640-MLA44341353803_122020-I.jpg,,True,Garantía de fábrica: 3 meses,MLA16369065,MLA-STREAMING_MEDIA_DEVICES,2022-06-12T23:50:38.000Z,2024-05-30T17:59:27.000Z,active,True
MLA1395987695,MLA,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,1312428764,MLA352001,,86327.0,86327.0,,ARS,142,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1395987695-amazon-fire-tv-stick-3ra-hd-alexa-voice-remote-original-_JM,753131-MLA47043467427_082021,http://http2.mlstatic.com/D_753131-MLA47043467427_082021-I.jpg,,True,Garantía del vendedor: 6 meses,MLA21723872,MLA-STREAMING_MEDIA_DEVICES,2023-11-16T17:28:35.000Z,2024-05-30T20:13:10.760Z,active,True
